abovementioned	ดังกล่าวข้างต้น
danger	พิษภัย
royal thought or idea	พระราชดำริ
practical part	ภาคปฏิบัติ
royal intention	พระราชประสงค์
royal annals	พระราชพงศาวดาร
royal	พระราชภารกิจ
heart	พระราชหฤทัย
royal writing	พระราชหัตถเลขา
Buddhist saint	พระอรหันต์
preceptor	พระอุปัชฌาย์
blow	พัดผ่าน
obligation	พันธกิจ
emperor	พระมหาจักรพรรดิ
proudly	ภาคภูมิใจ
take pride in	ภาคภูมิใจ
government sector	ภาครัฐบาล
industrial sector	ภาคอุตสาหกรรม
private sector	ภาคเอกชน
member	ภาคี
associate	ภาคี
painting	ภาพเขียน
motion	ภาพเคลื่อนไหว
mural	ภาพจิตรกรรมฝาผนัง
photograph	ภาพถ่าย
print	ภาพพิมพ์
illusion	ภาพลวงตา
reflection	ภาพสะท้อน
portrait	ภาพเหมือน
inflation	ภาวะเงินเฟ้อ
recession	ภาวะถดถอย
crisis	ภาวะวิกฤติ
surrounding	ภาวะแวดล้อม
economic condition	ภาวะเศรษฐกิจ
state of war	ภาวะสงคราม
natural language	ภาษาธรรมชาติ
national language	ภาษาประจำชาติ
mother language	ภาษาแม่
sign language	ภาษาสัญลักษณ์
high language	ภาษาสูง
high level language	ภาษาสูง
allergy	ภูมิแพ้
garden tree	ไม้ประดับ
distrust	ไม่ไว้วางใจ
age	ยุคสมัย
subdivide	แยกย่อย
format	รูปแบบ
pressure	แรงกดดัน
pressure	แรงกดดัน
mill	โรงสีข้าว
useless	ไร้คุณค่า
debtor	ลูกหนี้
vote	เลือกตั้ง
finish	แล้วเสร็จ
circle	วงการ
cycle	วงจร
circuit	วงจร
critical	วิกฤติ
crisis	วิกฤติ
be critical	วิกฤติ
Court of First Instance	ศาลชั้นต้น
Court of Justice	ศาลยุติธรรม
Supreme court	ศาลสูง
religious activity	ศาสนกิจ
Buddha teaching	ศาสนธรรม
tariff	ศุลกากร
Customs	ศุลกากร
send word	ส่งข่าวสาร
pawn-shop	สถานธนานุบาล
place of amusement	สถานบันเทิง
bus terminal	สถานีขนส่ง
television station	สถานีโทรทัศน์
financial institution	สถาบันการเงิน
political institution	สถาบันการเมือง
religious institution	สถาบันศาสนา
monastery institution	สถาบันสงฆ์
architecture	สถาปัตย์
spray	สเปรย์
absolute monarchy	สมบูรณาญาสิทธิราชย์
herb	สมุนไพร
diphthong	สระประสม
sleek	สลวย
lots	สลาก
label	สลาก
lottery	สลากกินแบ่งรัฐบาล
slide	สไลด์
go against	สวนกระแส
adverse	สวนกระแส
market share	ส่วนแบ่งตลาด
act	สวมบทบาท
carry on the shoulder	สะพาย
phonetics	สัทศาสตร์
luggage	สัมภาระ
distributor	สายส่ง
relation	สายสัมพันธ์
spy	สายสืบ
alum	สารส้ม
message	สาสน์
living thing	สิ่งมีชีวิต
right	สิทธิ
human rights	สิทธิมนุษยชน
investigate	สืบสวนสอบสวน
inherit	สืบสาน
advertising media	สื่อโฆษณา
television media	สื่อโทรทัศน์
printed matter	สื่อสิ่งพิมพ์
be peaceful	สุขสงบ
peacefully	สุขสงบ
sanitation	สุขอนามัย
beyond one's capability	สุดฝีมือ
line	เส้น
nerve	เส้น
unit of length equal to 40 metres	เส้น
numerative noun of road, long thing	เส้น
disclose one's intention	แสดงเจตนา
delay	หน่วง
credit	หน่วยกิต
memory	หน่วยความจำ
morpheme	หน่วยคำ
certificate	หนังสือรับรอง
be cold	หนาวเย็น
terminate	หมดวาระ
classification	หมวดหมู่
prostrate	หมอบคลาน
drop	หยาด
stop	หยุดยั้ง
one's grandfather all of whom are in the monkhood	หลวงตา
property	หลักทรัพย์
course	หลักสูตร
sleep	หลับไหล
in the time	ห้วงเวลา
be suspicious	หวาดระแวง
suspiciously	หวาดระแวง
lobby	ห้องโถง
dormitory	หอพัก
early in the evening	หัวค่ำ
leavening	หัวเชื้อ
far	ห่างไกล
department store	ห้างสรรพสินค้า
acclaim	โห่ร้อง
service	ให้บริการ
building	อาคาร
industry	อุตสาหกรรม
accident	อุบัติเหตุ
person	เอกชน
private	เอกชน
alone	เอง
water jar	โอ่ง
support	โอบอุ้ม
Ouch!	โอ๊ย
homily	โอวาท
obedience	โอวาท
luxurious	โอ่อ่า
popular	ฮิต
be a hit	ฮิต
hereditary	ทางกรรมพันธุ์
cook up	กุเรื่อง
juvenile court	ศาลคดีเด็กและเยาวชน
earner	ผู้มีรายได้
above all	เหนืออื่นใด
pre-school child	เด็กก่อนวัยเรียน
biotechnology	เทคโนโลยีชีวภาพ
sterile	ปลอดเชื้อ
police court	ศาลตำรวจ
fetus	ทารกในครรภ์
constitutional court	ศาลรัฐธรรมนูญ
individual	แต่ละบุคคล
occupational class	กลุ่มอาชีพ
dependent child	เด็กในอุปการะ
age group	กลุ่มอายุ
on line	เชื่อมตรง
population quality	คุณภาพประชากร
open-ended question	คำถามเปิด
diploma	ประกาศนียบัตรชั้นสูง
registered personnel	ทหารกองเกิน
rentier	ผู้มีรายได้ประจำ
attorney	ผู้รับมอบอำนาจ
heir	ผู้สืบสายโลหิต
heiress	ผู้สืบสายโลหิต
illegal wife	ภรรยานอกสมรส
technocrat	นักวิชาการ
public company	บริษัทมหาชน
preserve	เขตสงวน
provincial court	ศาลจังหวัด
instead of	แทนที่จะ
motivation	มูลเหตุจูงใจ
bargaining power	อำนาจต่อรอง
subject	อัตวิสัย
independent entity	องค์กรอิสระ
signature	ลายมือชื่อ
subsequently submit	ส่งต่อ
rural area	เขตชนบท
court of justice	ศาลสถิตยุติธรรม
supreme court	ศาลสูงสุด
take an oath of allegiance	ถวายสัตย์ปฏิญาณ
physical evidence	พยานวัตถุ
witness	พยานบุคคล
trainee	ผู้เข้ารับการอบรม
on the contrary	ในทางตรงกันข้าม
imaginary	ในจินตนาการ
petty case	คดีมโนสาเร่
from now on	นับแต่นี้ไป
closed-ended question	คำถามปิด
tyrant	ทรราช
ideology	อุดมการณ์
in negligence	โดยประมาท
formerly	เดิมทีเดียว
administrative work	งานบริหาร
illiterate	ผู้ไม่รู้หนังสือ
in doing this	ในการนี้
psychological warfare	สงครามจิตวิทยา
public welfare	สวัสดิภาพสังคม
serious offence	คดีอุกฉกรรจ์
hypothesis	สมมุติฐาน
create	เสก
school age child	เด็กวัยเรียน
human relations	มนุษยสัมพันธ์
in other words	กล่าวอีกนัยหนึ่ง
administrative court	ศาลปกครอง
national income	รายได้ประ ชาชาติ
microeconomics	เศรษฐศาสตร์จุลภาค
Royal Command	พระบรมราชโองการ
finger print	ลายนิ้วมือ
desirable	ที่พึงประสงค์
compensation	ค่าสินไหม
head office	สำนักงานใหญ่
foreign trade zone	เขตการค้าเสรี
creativity	ความคิดสร้างสรรค์
case study	กรณีศึกษา
capitalism	ระบบทุนนิยม
buying power	อำนาจซื้อ
suburban zone	เขตชานเมือง
macroeconomics	เศรษฐศาสตร์มหภาค
encourage	ปลุกเร้า
call	โทร
freedom	ไทย
Thailand	ไทย
broker	นายหน้าซื้อขาย
leaf	ใบ
numerative noun for tree leaves, fruit, container, document, etc.	ใบ
appraise	ประเมินคุณค่า
blow	พัดพา
be contaminated	ปลอมปน
bypass	ทางเลี่ยงเมือง
be in line with	เป็นไปตาม
airy	โปร่งลม
species of thornless bamboo	ผาก
violate the rule	ผิดกติกา
accomplice	ผู้สมคบ
delay	หน่วงเหนี่ยว
impure	ปลอมปน
cheer	เชียร์
strand	เกลียว
twist	เกลียว
frighten	เขย่าขวัญ
horrible	เขย่าขวัญ
enter the code	เข้ารหัส
go out and come in again and again	เข้าๆ ออกๆ
in and out	เข้าๆ ออกๆ
be chic	เท่
remember	จำใส่ใจ
incline	เท่
support	เชียร์
diminish	ซาลง
novice	เณร
instinctively	โดยสัญชาตญาณ
break through	ตีฝ่า
withdraw from	ถอนตัว
anticlockwise	ทวนเข็มนาฬิกา
be promiscuous	มั่ว
form into groups	จัดกลุ่ม
incalculably	สุดคณนา
money	สตางค์
double	สองเท่าตัว
smell	สาบ
musty	สาบ
cockroach	สาบ
facings around the edges of a coat on which buttons are sewn or buttonholes cut	สาบ
lake	สาบ
carry a weapon	พกอาวุธ
right	สิทธิ์
auction	เลหลัง
share	สู่
to	สู่
visit	สู่
recite an incantation over	เสก
sprinkle holy water on the bride and groom at a wedding	เสก
magical	เสก
assembly	สมัชชา
possibility	สิทธิ์
receive	รับ
assemble	มั่ว
predict	มั่ว
be unrelated	ไม่เกี่ยว
incessantly	ไม่หยุดหย่อน
freely	ไม่อั้น
file a complaint	ยื่นคำร้อง
car	รถ
stang	สตางค์
rhyme	รับ
low-priced	เลหลัง
accept	รับ
take up	รับ
match	รับ
confess	รับ
listen to	รับฟัง
tune in	รับฟัง
inordinately	เลยเถิด
hold  back	หน่วงเหนี่ยว
withstand	รับ
be completely demolished	พังยับเยิน
implication	นัยประหวัด
in fact	ในความเป็นจริง
list	บัญชีรายชื่อ
bench	บัลลังก์ศาล
obstruct	เป็นก้างขวางคอ
by common consent	เป็นเอกฉันท์
be hidden	แฝงเร้น
effective	มีประสิทธิภาพ
be on	พ้นขีดอันตราย
off the danger list	พ้นขีดอันตราย
until	ตราบจนกระทั่ง
pure breed	พันธุ์แท้
commerce	พาณิชยกรรม
decrease	เพลาลง
image	ภาพติดตา
under control	ภายใต้การควบคุม
effectively	มีประสิทธิภาพ
bribe	ให้สินบน
latent	แฝงเร้น
suicide	การฆ่าตัวตาย
surplus	ส่วนเกิน
stay away	อยู่ห่างๆ
plug	อุด
carry	อุ้ม
absorb	อุ้ม
utter	เอ่ย
ok	เอาละ
exclusively	แต่ผู้เดียว
constabulary	กองกำลังตำรวจ
so long as	ตราบใดที่
reproduction	การเจริญพันธุ์
contrary to	ขัดต่อ
deposit	เข้าบัญชี
ad hoc committee	คณะกรรมการชั่วคราว
rank of nobility	ฐานันดรศักดิ์
discretion	ดุลพินิจ
in principle	โดยหลัก
affect	มีผลกระทบ
now then	เอาละ
party leader	หัวหน้าพรรค
lay down measures	วางมาตรการ
technology	วิทยาการผลิต
establishment	สถานประกอบการ
vocational school	สถานศึกษาวิชาชีพ
make eye contact	สบตา
power of attorney	หนังสือมอบอำนาจ
credentials	หนังสือสำคัญ
be efficient	มีประสิทธิภาพ
guarantee	หลักประกัน
reproductive age	วัยเจริญพันธุ์
contrive up	ออกอุบาย
legal document	เอกสารทางกฎหมาย
ATM	เอทีเอ็ม
administrative district	เขตการปกครอง
township	เขตการปกครองท้องถิ่น
autonomous region	เขตปกครองตนเอง
sanitary district	เขตสุขาภิบาล
security	หลักประกัน
come on	เร็วๆ เข้า
be retroactive	มีผลย้อนหลัง
vote	มีมติ
be conscientious	มีมโนธรรม
consent to	ไม่ขัดข้อง
dissatisfied	ไม่สบอารมณ์
be dissatisfied	ไม่สบอารมณ์
act for	รักษาการในตำแหน่ง
youth	วัยหนุ่มสาว
realize	รู้สำนึก
puberty	วัยแรกรุ่น
recessive	ลักษณะด้อย
lately	ล่าสุด
latest	ล่าสุด
order of magnitude	ลำดับความสำคัญ
casual worker	ลูกจ้างชั่วคราว
government employee	ลูกจ้างรัฐบาล
illegitimate child	ลูกไม่มีพ่อ
be handy	เหมาะมือ
bill	ร่างกฎหมาย
cultivated area	พื้นที่เพาะปลูก
war criminal	อาชญากรสงคราม
publication	สิ่งพิมพ์เผยแพร่
import duty	อากรขาเข้า
summary	อย่างรวบรัด
floating debt	หนี้ระยะสั้น
funded debt	หนี้ระยะยาว
civic duty	หน้าที่ของพลเมือง
political machinery	กลไกทางการเมือง
national park	อุทยานแห่งชาติ
beware of	จงระวัง
work status	สถานภาพการทำงาน
maturity	วุฒิภาวะ
standardize	วางมาตรฐาน
menopause	วัยหมดประจำเดือน
old age	วัยสูงอายุ
candidate	ผู้สมัครรับเลือกตั้ง
be in line for	อยู่ในเกณฑ์
assassin	ผู้ลอบสังหาร
puppet government	รัฐบาลหุ่น
floater	ผู้ขายเสียงเลือกตั้ง
autarchy	สมบูรณาธิปไตย
political refugee	ผู้ลี้ภัยการเมือง
war of nerves	สงครามประสาท
private right	สิทธิส่วนบุคคล
office hours	เวลาทำการ
objective	วัตถุวิสัย
open society	สังคมเปิด
public revenue	รายได้แผ่นดิน
ask for	ถามถึง
mature	เป็นผู้ใหญ่
absolute monarchy	สมบูรณาญาสิทธิราชย์
export duty	อากรขาออก
deduce	อนุมาน
convenient for	เหมาะสำหรับ
cause	เป็นสาเหตุ
blush at	หน้าแตก
quadruplets	แฝดสี่
unearned income	รายได้พิเศษ
give way	หลีกทาง
minority vote	คะแนนเสียงข้างน้อย
objective	วัตถุวิสัย
identity card	บัตรประจำตัวประชาชน
be engaged	หมั้น
sound	หยั่ง
indecent	หยาบโลน
obscenely	หยาบโลน
hereditary characteristic	ลักษณะทางพันธุกรรม
be misled	หลงผิด
per capita	ต่อหัว
step aside	หลีกทาง
bridal house	หอ
dormitory	หอ
shell	หอย
sky	หาว
yawn	หาว
force majeur	เหตุสุดวิสัย
go astray	หลงผิด
convict	ผู้ต้องโทษ
triplets	แฝดสาม
twins	แฝดสอง
maternal	ฝ่ายมารดา
paternal	ฝ่ายบิดา
informant	ผู้ให้ข้อมูล
time of occurrence	วันเกิดเหตุ
vacancy	ตำแหน่งว่าง
majority vote	คะแนนเสียงข้างมาก
assessor	ผู้ประเมิน
de facto	โดยพฤตินัย
chairman	ประธานที่ประชุม
poster	ใบปิดประกาศ
ballot	บัตรเลือกตั้ง
educational status	สถานภาพทางการศึกษา
party policy	นโยบายพรรค
invective	คำบริภาษ
International Police	ตำรวจสากล
session	สมัยประชุม
defector	ผู้แปรพักตร์
progress	การเจริญเติบโต
disharmony	การแตกแยก
eat	กินข้าว
hard work	งานหนัก
serious	ซีเรียส
probably	ดอกกระมัง
drinkable	ดื่มได้
only	ท่าเดียว
someone	บางท่าน
realize	ประจักษ์ชัด
personal interest	ประโยชน์ส่วนตัว
common interest	ประโยชน์ส่วนรวม
a large amount	ปริมาณมาก
shut the door	ปิดประตู
indoor	ภายในบ้าน
high level language	ภาษาระดับสูง
machine language	ภาษาเครื่อง
sacred words	มนตร์
anthropology	มนุษยวิทยา
humanities	มนุษยศาสตร์
human relations	มนุษยสัมพันธ์
cultural heritage	มรดกทางวัฒนธรรม
environmental pollution	มลพิษทางสภาวะแวดล้อม
total mass	มวลรวม
metropolis	มหานคร
guide	มัคคุเทศก์
high school education	มัธยมศึกษาตอนปลาย
more than	มากกว่า
more and more	มากขึ้น
overabundantly	มากเกินไป
reach at	มาถึง
manners	มารยาท
dishonestly	มิชอบ
tightly	มิด
not	มิใช่
not	มิได้
imply	มีนัย
base	มีรากฐาน
participate	มีส่วน
get married	มีเรือน
get into trouble	มีเรื่อง
growth	การเจริญเติบโต
pour	เท
mosquito wire screen	มุ้งลวด
value added	มูลค่าเพิ่ม
more	ยิ่งขึ้น
in addition	ยิ่งไปกว่านั้น
Prehistorical period	ยุคก่อนประวัติศาสตร์
Modern age	ยุคใหม่
subside	ยุบตัว
Western Europe	ยุโรปตะวันตก
East Europe	ยุโรปตะวันออก
campaign	รณรงค์
bus	รถบัส
smoke	รม
irritate	ระคายเคือง
national	ระดับชาติ
international	ระดับนานาชาติ
average	ระดับปานกลาง
high-grade	ระดับสูง
ecology	ระบบนิเวศ
operating system	ระบบปฏิบัติการ
expert system	ระบบผู้เชี่ยวชาญ
democracy	ระบอบประชาธิปไตย
absolute monarchy	ระบอบสมบูรณาญาสิทธิราชย์
shine	ระยับ
sovereignty	รัฏฐาธิปไตย
tied up	รัดตัว
caress tightly	รัดรึง
eat	รับประทาน
feel annoyed	รำคาญใจ
roadside	ริมถนน
riverside	ริมแม่น้ำ
next day	รุ่งขึ้น
next generation	รุ่นหลัง
past generation	รุ่นเก่า
new model	รุ่นใหม่
shade	ร่มเงา
accompany with	ร่วมกัน
share the happiness	ร่วมสุข
beg for	ร้องขอ
inquire	ร้องถาม
sing	ร้องเพลง
call	ร้องเรียก
be a candidate for	ลงสมัครรับเลือกตั้ง
cold wind	ลมหนาว
windy	ลมแรง
try out	ลองดู
trial and error	ลองผิดลองถูก
majesties' handwriting	ลายพระหัตถ์
transport	ลำเลียง
taste	ลิ้มรส
you	ลื้อ
stand up	ลุกขึ้น
accomplish	ลุล่วง
woman	ลูกผู้หญิง
hunt	ล่าสัตว์
all	ล้วนแต่
all	ล้วนแล้วแต่
return	วกกลับ
circuit	วงจรไฟฟ้า
scope	วงจำกัด
society	วงสังคม
comparative literature	วรรณคดีเปรียบเทียบ
art created language	วรรณศิลป์
the next day	วันรุ่งขึ้น
Shaving Day	วันโกน
seniority	วัยวุฒิ
sold	วางขาย
brake	เบรก
persons with previous deeds on each other	เจ้ากรรมนายเวร
this morning	เช้านี้
swagger	เดินกร่าง
walk behind	เดินตาม
doctrine	เถรวาท
only	เท่านั้นเอง
how	เท่าใด
because	เนื่องจากว่า
owing to	เนื่องมาจาก
subject matter	เนื้อหาวิชา
substance	เนื้อหาสาระ
tissue	เนื้อเยื่อ
wood	เนื้อไม้
stinking	เน่าเหม็น
brake	เบรก
turn one's head	เบือนหน้า
bored with food	เบื่ออาหาร
why	เพราะเหตุใด
in order that	เพื่อให้
just now	เมื่อกี้
just now	เมื่อครู่นี้
yesterday	เมื่อวาน
recently	เมื่อไม่นานมานี้
visit	เยี่ยมเยียน
compose	เรียงร้อย
graduate	เรียนจบ
further study	เรียนต่อ
private matter	เรื่องส่วนตัว
arithmetic	เลขคณิต
anyhow	แต่อย่างใด
vertical	แนวดิ่ง
vertical	แนวตั้ง
divide	แบ่งกลุ่ม
even if	แม้กระทั่ง
even	แม้แต่
oh,dear!	โธ่เอ๊ย
domestic	ในประเทศ
on the other hand	ในอีกแง่หนึ่ง
at that time	ในเวลานั้น
visit	ไปมาหาสู่
impossible	ไม่มีทาง
nobody	ไม่มีใคร
little	ไม่เท่าไหร่
be harmless	ไม่เป็นอันตราย
not only	ไม่เพียงแต่
increase	มากขึ้น
fried spare-ribs	ซี่โครงหมูทอด
fried chicken	ไก่ทอด
fried prawn balls	กุ้งชุบแป้งทอด
shrimp in fish sauce	กุ้งแช่น้ำปลา
pork omelette	ไข่เจียวหมูสับ
stuffed omelette	ไข่ยัดไส้
Greenpeace Southeast Asia Foundation	กรีนพีซ เอเชียตะวันออกเฉียงใต้
Wildlife fund Thailand	มูลนิธิคุ้มครองสัตว์ป่าและพรรณพืชแห่งประเทศไทย ในพระบรมราชินูปถัมภ์
Foundation for Handicapped Children	มูลนิธิเพื่อเด็กพิการ
The Education for Development Foundation	มูลนิธิกองทุนการศึกษาเพื่อการพัฒนา
Foundation of the protection of children's Rights	มูลนิธิศูนย์พิทักษ์สิทธิเด็ก
Child Protection Foundation	มูลนิธิคุ้มครองเด็ก
Foundation for the Blind in Thailand under the Royal Patronage of Her Majesty the Queen	มูลนิธิช่วยคนตาบอดแห่งประเทศไทย ในพระบรมราชินูปถัมภ์
Hand-In-Hand Foundation	มูลนิธิร่วมด้วยช่วยกัน
to and fro	เทียวไปเทียวมา
collect tax	เดินสวน
water bottle	เต้า
smooth	เนียน
excellent	เยี่ยมยอด
outside	รอบนอก
expiate sin	ล้างบาป
lens	เลนส์
umpire	กรรมการตัดสิน
coup d'etat council	คณะรัฐประหาร
Miss Thailand	นางสาวไทย
daughter	บุตรหญิง
millionaire	มหาเศรษฐี
missionary	มิชชันนารี
Deputy Prime Minister	รองนายกรัฐมนตรี
Associate Professor	รองศาสตราจารย์
senior	รุ่นพี่
jury	ลูกขุน
member of a political party	ลูกพรรค
child	ลูกเต้า
crew	ลูกเรือ
one's world mate	เพื่อนร่วมโลก
traditional doctor	แพทย์แผนโบราณ
daughter	ลูกผู้หญิง
palanquin	วอ
research report	รายงานการวิจัย
ore	แร่ธาตุ
herbal medicine	ยาสมุนไพร
furniture	เฟอร์นิเจอร์
fried fish-paste balls	ทอดมันปลากราย
water level	ระดับน้ำ
rubber tree	ยางพารา
Cassia fistula	ลมแล้ง
ghost	ภูติผีปีศาจ
rainbow	รุ้ง
bacteria	แบคทีเรีย
pot-stewed duck	เป็ดพะโล้
deep fried duck	เป็ดร่อน
stove	เตาไฟ
vine	เถา
foreleg	เท้าหน้า
financial amount	วงเงิน
number	เบอร์
yellow robe	ผ้าเหลือง
king	มหากษัตริย์
folk song	เพลงลูกทุ่ง
altitude	ระดับความสูง
interlingua	ภาษากลาง
human speech	ภาษาคน
computer language	ภาษาคอมพิวเตอร์
scratch	รอยขีด
indentation	รอยตัด
foot-print	รอยตีน
degree	ระดับชั้น
pitch	ระดับเสียง
network	ระบบเครือข่าย
bookstore	ร้านหนังสือ
illustration	รูปประกอบ
Buddhist nun	ภิกษุณี
story	เรื่องเล่า
harm	เรื่องเสียหาย
opera oriented dance drama	ละครดึกดำบรรพ์
wheel	ล้อรถ
mountain	ภู
alto xylophone	ระนาดเอก
rainfall	ปริมาณน้ำฝน
barn	ยุ้งข้าว
riverbank	ริมตลิ่ง
city municipal	เทศบาลนคร
recently	หมู่นี้
record head	หัวบันทึก
topic	หัวข้อเรื่อง
change one's mind	หันไป
turn to	หันมา
scented	หอมกรุ่น
auditorium	หอประชุม
make love	หลับนอน
backyard	หลังบ้าน
afterwards	หลังจากนั้น
suit	สูท
light bulb	หลอดไฟ
seek	หาทาง
note	หมายเหตุ
half dry	หมาด
keep on	หมั่น
newcomer	หน้าใหม่
mask	หน้ากาก
shadow play	หนังตะลุง
head portion	ส่วนหัว
style	สไตล์
sketch	สเก๊ตช์
after	หลังจากที่
World Health Organization	องค์การอนามัยโลก
particle	อนุภาค
brother	อนุชา
subcommittee	อนุกรรมการ
sequence	อนุกรม
inorganic	อนินทรีย์
Alas	อนิจจา
death	อนิจกรรม
countless	อนันต์
grape	องุ่น
laugh	หัวร่อ
The Telephone Organization	องค์การโทรศัพท์
provinces	หัวเมือง
United Nations Organization	องค์การสหประชาชาติ
private organization	องค์กรเอกชน
laboratory	ห้องปฏิบัติการวิจัย
listen carefully	หูผึ่ง
cook rice	หุงข้าว
snow	หิมะ
find fault	หาเหตุ
accuse of	หาว่า
completely cured	หายขาด
pig	สุกร
degree Celsius	องศาเซลเซียส
hero	วีรชน
prehistoric	สมัยก่อนประวัติศาสตร์
priest's ranks	สมณศักดิ์
situation	สภาวการณ์
environment	สภาพแวดล้อม
world war	สงครามโลก
World War II	สงครามโลกครั้งที่ 2
ski	สกี
stone	ศิลา
folk art	ศิลปะพื้นบ้าน
sketch	สเก๊ตช์
hero	วีรบุรุษ
Member of the House of Representative	สมาชิกสภาผู้แทนราษฎร
video	วีดิทัศน์
visa	วีซ่า
electrical engineering	วิศวกรรมไฟฟ้า
chemical engineering	วิศวกรรมเคมี
engineering	วิศวกรรมศาสตร์
evolution	วิวัฒน์
instruction	วิธีใช้
major subject	วิชาเอก
required subject	วิชาบังคับ
prestige	ศักดิ์ศรี
moderation	สายกลาง
invention	สิ่งประดิษฐ์
for	สำหรับ
disciple	สาวก
Buddha's relics	สารีริกธาตุ
organic substance	สารอินทรีย์
semiconductor	สารกึ่งตัวนำ
telephone line	สายโทรศัพท์
falling rain	สายฝน
myopia	สายตาสั้น
primitive age	สมัยดึกดำบรรพ์
field	สายงาน
Neolithic Age	สมัยหินใหม่
novice	สามเณร
republic	สาธารณรัฐ
public hazard	สาธารณภัย
ally	สัมพันธมิตร
skillful	สันทัดกรณี
urban society	สังคมเมือง
little	สักหน่อย
in some day	สักวัน
picture album	สมุดภาพ
metaphysics	อภิปรัชญา
presbyopia	สายตายาว
adviser	อาจารย์ที่ปรึกษา
temperature	อุณหภูมิ
be silent	อึ้ง
again	อีกแล้ว
also	อีกด้วย
electronics	อิเล็กทรอนิกส์
freedom	อิสรภาพ
volunteer	อาสาสมัคร
for example	อาทิเช่น
citizens	อาณาประชาราษฎร์
convention	อนุสัญญา
teacher	อาจารย์ผู้สอน
mumblingly	อุบอิบ
as the result of	อันเนื่องมาจาก
risk level	อัตราเสี่ยง
autobiography	อัตชีวประวัติ
come out	ออกมา
the end of Buddhist lent	ออกพรรษา
aluminium	อลูมิเนียม
explanation	อรรถาธิบาย
how	อย่างไรเล่า
however	อย่างไรก็ดี
special instructor	อาจารย์พิเศษ
silver coin	เหรียญเงิน
buy a new car	ออกรถ
clarify	อย่างชัดแจ้ง
clearly	อย่างชัดเจน
scream	หวีด
sleep	หลับนอน
a little while	หน่อย
tragedy	โศกนาฏกรรม
exclaim	อุทาน
slightly	หน่อย
flood	อุทกภัย
helicopter	เฮลิคอปเตอร์
park	อุทยาน
gold coin	เหรียญทอง
look for	เสาะแสวงหา
liberalism	เสรีนิยม
melodious	เสนาะ
except	เว้นเสียแต่ว่า
tray of food	สำรับ
analogy	อุปมาอุปไมย
electrical equipment	อุปกรณ์ไฟฟ้า
surprisingly	อย่างแปลกใจ
return to	หันไป
obviously	อย่างชัดแจ้ง
closely	อย่างใกล้ชิด
very much	อย่างมากมาย
surely	อย่างมั่นใจ
stably	อย่างมั่นคง
immensely	อย่างมหาศาล
safely	อย่างปลอดภัย
clearly	อย่างถ่องแท้
correctly	อย่างถูกต้อง
permanently	อย่างถาวร
extremely	อย่างยิ่งยวด
frightenedly	อย่างตกใจ
briefly	อย่างย่อ
obviously	อย่างชัดเจน
limitedly	อย่างจำกัด
sincerely	อย่างจริงใจ
seriously	อย่างจริงจัง
easily	อย่างง่ายดาย
completely	อย่างครบถ้วน
widely	อย่างกว้างขวาง
coexist	อยู่ร่วม
superpower	อภิมหาอำนาจ
sacrifice	อุทิศ
straightforwardly	อย่างตรงไปตรงมา
highly	อย่างสูง
emigrate	อพยพ
actually	อย่างแท้จริง
actively	อย่างแข็งขัน
attentively	อย่างเอาใจใส่
suitably	อย่างเหมาะสม
neatly	อย่างเรียบร้อย
sufficiently	อย่างเพียงพอ
systematically	อย่างเป็นระบบ
officially	อย่างเป็นทางการ
systemically	อย่างมีระบบ
strictly	อย่างเคร่งครัด
accurately	อย่างแม่นยำ
happily	อย่างสบายใจ
interestedly	อย่างสนใจ
joyfully	อย่างสนุก
merrily	อย่างสนุกสนาน
calmly	อย่างสงบ
deeply	อย่างลึกซึ้ง
seriously	อย่างร้ายแรง
immediately	อย่างรีบด่วน
smoothly	อย่างราบรื่น
carefully	อย่างระมัดระวัง
as it was	อย่างเดิม
maverick	กระแสทวน
black magic; voodoo	ของขึ้น
insanity	ของขึ้น
leader of the teenage group	ขาโจ๋
rule nominally	ขึ้นหิ้ง
proceed according to one's plan	เข้าล็อค
whole set of	ครบชุด
be on the threshold of death	ครึ่งผีครึ่งคน
brains	คลังสมอง
simultaneously	ควบคู่กันไป
adversary	คู่รักคู่แค้น
grand diamond	โคตรเพชร
force something down somebody's throat	จ่อคอหอย
prove guilty	จับให้มั่นคั้นให้ตาย
chat	เจ๊าะแจ๊ะ
go through easily	ฉลุย
fast	ฉลุย
narrowly	ฉิวเฉียด
hit oneself with anger	ชกหัว
get a commission from	ชักหัวคิว
mezzanine	ชั้นลอย
speeding	ซิ่ง
recruit	เณร
black mail	ดัดหลัง
be a joke for eating	ตลกบริโภค
knowledge market	ตลาดวิชา
cut from sth to sth	ตัดฉาก
edit	ตัดต่อ
do not cut off completely	ตัดไม่ขาด
end the conversation	ตัดรำคาญ
meddler	ตัวยุ่ง
not perceptive	ตาต่ำ
die with a grievance	ตายตาไม่หลับ
live with suffering	ตายทั้งเป็น
crazy	ติงต๊อง
stand instead of having a ticket	ตีตั๋วยืน
get angry	เต้นผาง
beneficially	เต็มกอบเต็มกำ
since birth	แต่อ้อนแต่ออก
bribery	ใต้โต๊ะ
sexual affair	ใต้สะดือ
be discouraged	ถอดใจ
souvenir made of two bags	ถุงเงินถุงทอง
add	แถมท้าย
endurably	ทนทายาด
be a gold-digger	ทอดกาย
get lost in day-dreams	ทอดอารมณ์
flow rapidly	ทะลักทลาย
