english	thai	paiboon
fax	โทรสาร	too-sǎan
facsimile	โทรสาร	too-sǎan
transactions	ธุรกรรม	tu-ra-gam
mid-sized business	ธุรกิจขนาดกลาง	tú-rá-gìt-kà-nâat-glaang
small business	ธุรกิจขนาดเล็ก	tu-ra-git-ka-naat-lek
big business	ธุรกิจขนาดใหญ่	tu-rá-gìt-kà-nàat-yài
wholesale business	ธุรกิจค้าส่ง	tu-ra-gìt-kâa-sòŋ
because	เนื่องจาก	nʉ̂aŋ-jàak
clearly	แน่ชัด	nɛ̂-chàt
clear	แน่ชัด	nɛ̂-chát
crowd around	แน่นขนัด	nɛɛn-knàt
attach	แนบท้าย	nɛ̂ɛp-táai
horizon	แนวนอน	nɛɛ-won
tendency	แนวโน้ม	nɛɛw-nóom
regulation	แนวปฏิบัติ	nɛɛw-bpa-dtì-bàt
ally	แนวร่วม	nɛɛw-ruam
horizontal	แนวราบ	nɛɛw-raab
inspire	บันดาลใจ	ban-daan-jai
record	บันทึกเทป	ban-túk-deep
allocate	แบ่งเวลา	bɛ̀ŋ-wee-laa
battery	แบตเตอรี่	bɛ̀ɛt-dtə-rîi
model	แบบจำลอง	bɛ̀ɛp-jam-lɔɔŋ
exercise	แบบฝึกหัด	bɛ̀ɛp-fʉ̀k-hàt
textbook	แบบเรียน	bɛ̀ɛp-riian
purchase order	ใบสั่งซื้อ	bai-sàŋ-sʉ́ʉ
regularly	ปกติธรรมดา	bpà-gà-dtì-tam-má-daa
normal	ปกติธรรมดา	bpà-gà-dti-tam-mà-daa
respond	ปฏิกิริยาตอบโต้	bpa-dtì-gì-rí-yaa-dtɔ̂ɔp-dtôo
greenhouse effect	ปฏิกิริยาเรือนกระจก	bpà-dtì-gì-rí-yaa-rʉan-gra-jòk
reaction	ปฏิกิริยาสะท้อน	bpa-dtì-gì-ri-yaa-sà-tɔ́ɔn
behave	ปฏิบัติตน	bpà-dtì-bàt-dtohn
contaminated	ปนเปื้อน	bpan-bpʉ̂an
contaminate	ปนเปื้อน	bpan-bpʉ̂an
agrarian country	ประเทศเกษตรกรรม	bpra-têet-gà-sèt-dgon-gam
industrial country	ประเทศอุตสาหกรรม	bpra-tèet-ùt-sǎa-ha-gam
process data	ประมวลผลข้อมูล	bpra-muan-phon-kɔ̂ɔ-muu
estimate	ประเมินราคา	bpra-meen-raa-kaa
face a problem	ประสบปัญหา	bpra-sòp-bpan-hǎa
chief executive	ผู้บริหารระดับสูง	pʉ́-bɔ-rí-hǎan-rá-dàp-sǔu
new	แผนใหม่	pɛ̌ɛn-mai
land	ผืนดิน	pʉʉn-din
water	ผืนน้ำ	pʉʉn-náam
forest	ผืนป่า	pʉʉn-bpàa
accessory	ผู้เกี่ยวข้อง	pûu-gìao-kɔ̂ɔng
wholesaler	ผู้ค้าส่ง	pûu-kâa-sòŋ
distributor	ผู้จัดจำหน่าย	pʉ́-jàt-jam-nài
user	ผู้ใช้งาน	pʉ́-chái-ngaan
chintz	ผ้าลาย	pâa-laai
operator	ผู้ดำเนินการ	pûu-dam-noen-gaan
fabric	ผ้าพื้น	pâa-pʉʉn
informant	ผู้บอกภาษา	pûu-bɔ̀ɔg-paa-sǎa
refugee	ผู้ลี้ภัย	pûu-lii-pai
researcher	ผู้วิจัย	pû-wi-jai
exporter	ผู้ส่งออก	pûu-sòŋ-ɔ̀ɔk
wire-puller	ผู้อยู่เบื้องหลัง	pûu-yùu-bʉ̂aŋ-laŋ
occupant	ผู้อยู่อาศัย	pʉ́-yùu-aa-sǎi
pilot scheme	แผนนำร่อง	phɛɛn-nam-rɔ̂ɔng
modern	แผนปัจจุบัน	pɛɛn-bpàt-ju-ban
succeed	ประสบผลสำเร็จ	bpra-sòp-pǒn-sam-rèt
user	ผู้ใช้บริการ	pûu-chái-bɔ-ri-gaan
key	ป้อนข้อมูล	bpɔ̂ɔn-kɔ̂ɔ-muu
have an accident	ประสบอุบัติเหตุ	bpra-sòp-u-bàt-ti-hèet
coordinate	ประสานงาน	bprà-sǎan-ngaan
restructure	ปรับโครงสร้าง	bpràp-krooŋ-sâaŋ
rectify	ปรับปรุงแก้ไข	bpràp-bpruŋ-gɛ́ɛ-khai
wish well	ปรารถนาดี	bpraa-tá-naa-dii
money exchange	ปริวรรตเงินตรา	bpà-ri-wan-dtə-ngin-dtaa
fresh-water fish	ปลาน้ำจืด	bplaa-nám-jʉ̀d
nose tip	ปลายจมูก	bplai-jà-muuk
break discipline	ผิดวินัย	pìd-wi-nai
build a house	ปลูกเรือน	bplùuk-rʉan
put in jail	ฝากขัง	fàak-khaŋ
basic factor	ปัจจัยพื้นฐาน	bpàt-jay-pʉ̂un-tǎan
important factor	ปัจจัยสำคัญ	bpàt-jài-sam-kun
traffic problem	ปัญหาจราจร	bpan-hǎa-jaa-jon
pollution problem	ปัญหามลพิษ	bpan-hǎa-mon-lá-pit
community forest	ป่าชุมชน	bpà-chum-chon
blockade the forest	ปิดป่า	bpìd-bpàa
strange	แปลกใหม่	bplɛ̀k-mai
be valid	ผลบังคับ	pǒn-baŋ-kap
fresh vegetable	ผักสด	pàk-sòd
afforest	ปลูกป่า	bplûuk-bpàa
flat	แฟลต	fɛɛt
model scheme	แผนแม่บท	pɛɛn-mɛ̀-bòt
aquatic plant	พืชน้ำ	pʉ́ʉt-náam
Buddhist place	พุทธสถาน	put-ta-sà-tǎan
spread	แพร่ขยาย	phrɛɛ-kà-yǎai
spread out	แพร่ระบาด	phrɛ̂ɛ-rá-bàat
be allergic to weather	แพ้อากาศ	pʰɛ́-aa-gàat
poll	โพลล์	poon
bleach	ฟอกขาว	fɔ̀ɔk-khaao
genetic engineering	พันธุวิศวกรรม	pan-tu-wit-sa-gam
file	แฟ้ม	fɛ̂m
seed	พันธุ์พืช	pan-pʉ̂ch
finance	ไฟแนนซ์	fai-nɛɛn
finance	ไฟแนนซ์	fai-nɛɛn
fiber	ไฟเบอร์	fai-bəə
high voltage	ไฟฟ้าแรงสูง	fai-fáa-rɛɛŋ-suuŋ
enthusiastic	ไฟแรง	fai-rɛɛŋ
file	ไฟล์	fai
emergency generator	ไฟสำรอง	fai-sam-rɔɔŋ
drought	ภัยแล้ง	pái-lɛ̂ɛŋ
compulsory	ภาคบังคับ	pâak-baŋ-kap
file	แฟ้ม	fɛ̂m
royal wish	พระราชปณิธาน	prá-raa-chá-bpa-nít-taan
deposit money	ฝากเงิน	fàak-ngən
administration	ฝ่ายปกครอง	fâai-bpok-kroong
Allied	ฝ่ายพันธมิตร	fâai-pan-ta-mit
axis	ฝ่ายอักษะ	fàai-àk-sà
inquiry official	พนักงานสอบสวน	pá-nák-ngaan-sɔ̀ɔp-suan
coalition government parties	พรรคร่วมรัฐบาล	phak-ruam-rat-baan
name	พระนาม	prá-naam
royal grace	พระมหากรุณาธิคุณ	pá-rá-má-hǎa-gru-naa-tí-kun
danger	พิษภัย	píts-pai
royal thought or idea	พระราชดำริ	pʰrá-raat-dam-rí
practical part	ภาคปฏิบัติ	pâak-bpa-dtì-bàt
royal intention	พระราชประสงค์	pá-raa-chap-bra-soŋ
royal annals	พระราชพงศาวดาร	pá-raa-chá-pong-sǎa-wá-daan
royal	พระราชภารกิจ	prá-raat-cha-paa-ra-git
heart	พระราชหฤทัย	pá-raa-chà-hʉ̀t-dai
royal writing	พระราชหัตถเลขา	prá-raa-chá-hàt-tà-lè-kǎa
Buddhist saint	พระอรหันต์	prá-ràhàn
preceptor	พระอุปัชฌาย์	prá-ù-bpàt-chǎay
blow	พัดผ่าน	pát-pàan
obligation	พันธกิจ	pan-tá-git
emperor	พระมหาจักรพรรดิ	pá-rá-má-hǎa-jàk-rá-pân-dì
proudly	ภาคภูมิใจ	pâak-puu-mi-jai
take pride in	ภาคภูมิใจ	pâak-puu-mi-jai
government sector	ภาครัฐบาล	paa-krát-baan
industrial sector	ภาคอุตสาหกรรม	phaak-ut-sǎa-ha-gam
private sector	ภาคเอกชน	pâak-òk-chon
member	ภาคี	paa-kii
associate	ภาคี	paa-kii
painting	ภาพเขียน	páap-kʉian
motion	ภาพเคลื่อนไหว	páap-khlʉ̂an-wài
mural	ภาพจิตรกรรมฝาผนัง	pâap-jìt-dgràm-fǎa-pà-naŋ
photograph	ภาพถ่าย	páap-tài
print	ภาพพิมพ์	páap-pim
illusion	ภาพลวงตา	páap-luang-dtaa
reflection	ภาพสะท้อน	pâap-sà-tɔ́ɔn
portrait	ภาพเหมือน	pâap-mʉ̌an
inflation	ภาวะเงินเฟ้อ	paa-wá-ngən-fɔ́ɔ
recession	ภาวะถดถอย	paa-wá-tòt-tɔ̌ɔy
crisis	ภาวะวิกฤติ	paa-wa-wik-krʉ́t-dì
surrounding	ภาวะแวดล้อม	paa-wa-wɛɛ-lɔ́ɔm
economic condition	ภาวะเศรษฐกิจ	paa-wa-sèd-ta-gìt
state of war	ภาวะสงคราม	paa-wá-soŋ-kraam
natural language	ภาษาธรรมชาติ	paa-sǎa-tam-má-chàat
national language	ภาษาประจำชาติ	paa-sǎa-bpràj-jam-chaat
mother language	ภาษาแม่	paa-sǎa-mɛ̂ɛ
sign language	ภาษาสัญลักษณ์	paa-sǎa-san-lák-sǎn
high language	ภาษาสูง	paa-sǎa-suuŋ
high level language	ภาษาสูง	paa-sǎa-suuŋ
allergy	ภูมิแพ้	puu-mi-pɛ́
garden tree	ไม้ประดับ	mai-bpra-dàp
distrust	ไม่ไว้วางใจ	mâi-wái-waŋ-jai
age	ยุคสมัย	yúk-sà-mai
subdivide	แยกย่อย	yɛ̀ɛk-yɔ̀ɔy
format	รูปแบบ	rûup-bɛ̀ɛp
pressure	แรงกดดัน	rɛɛŋ-gòt-dan
pressure	แรงกดดัน	rɛɛŋ-gòd-dan
mill	โรงสีข้าว	rooŋ-sǐi-kâao
useless	ไร้คุณค่า	rai-kun-kàa
debtor	ลูกหนี้	lûug-nîi
vote	เลือกตั้ง	lʉ̌ak-dtâŋ
finish	แล้วเสร็จ	lɛ́ɛw-sèt
circle	วงการ	waŋ-gaan
cycle	วงจร	wong-jon
circuit	วงจร	woŋ-jon
critical	วิกฤติ	wít-krʉ́-dtì
crisis	วิกฤติ	wìt-krʉ́-dtì
be critical	วิกฤติ	wít-krì-dtì
Court of First Instance	ศาลชั้นต้น	sǎan-chán-dtôn
Court of Justice	ศาลยุติธรรม	sǎan-yú-dtí-tam
Supreme court	ศาลสูง	sǎan-suung
religious activity	ศาสนกิจ	sàat-sà-nà-gìt
Buddha teaching	ศาสนธรรม	sàat-sa-na-tam
tariff	ศุลกากร	sul-gaa-gɔɔn
Customs	ศุลกากร	sùn-la-gaa-gɔɔn
send word	ส่งข่าวสาร	sòŋ-kàao-sǎan
pawn-shop	สถานธนานุบาล	sà-tǎan-tá-naa-nu-baan
place of amusement	สถานบันเทิง	sà-tǎan-ban-təəŋ
bus terminal	สถานีขนส่ง	sà-tǎa-nii-kon-sòŋ
television station	สถานีโทรทัศน์	sà-tǎa-nii-too-rá-tàt
financial institution	สถาบันการเงิน	sà-tǎa-ban-gaan-ngən
political institution	สถาบันการเมือง	sà-tǎa-ban-gaan-mʉaŋ
religious institution	สถาบันศาสนา	sà-tǎa-ban-sàat-saa-naa
monastery institution	สถาบันสงฆ์	sà-tǎa-ban-soŋ
architecture	สถาปัตย์	sà-tǎa-bpàt
spray	สเปรย์	s-bpree
absolute monarchy	สมบูรณาญาสิทธิราชย์	som-buu-ra-naa-ya-sit-ti-raat
herb	สมุนไพร	so-mun-prai
diphthong	สระประสม	sà-rá-bpra-som
sleek	สลวย	sà-lui
lots	สลาก	sà-làak
label	สลาก	sà-làag
lottery	สลากกินแบ่งรัฐบาล	sà-làak-gin-bɛ̀ŋ-rát-baan
slide	สไลด์	sà-lái
go against	สวนกระแส	suan-gra-sɛɛ
adverse	สวนกระแส	sǔan-gra-sɛ̌
market share	ส่วนแบ่งตลาด	sùan-bɛ̀ŋ-dtà-làat
act	สวมบทบาท	suam-bot-bàat
carry on the shoulder	สะพาย	sà-bpaai
phonetics	สัทศาสตร์	sàt-sàat
luggage	สัมภาระ	sǎm-paa-rá
distributor	สายส่ง	sǎai-sòŋ
relation	สายสัมพันธ์	sai-sam-pan
spy	สายสืบ	sai-sʉ̀p
alum	สารส้ม	sǎan-sôm
message	สาสน์	sàat
living thing	สิ่งมีชีวิต	sìŋ-mii-chii-wit
right	สิทธิ	sìt-tí
human rights	สิทธิมนุษยชน	sìt-tí-má-nút-sà-yá-chon
investigate	สืบสวนสอบสวน	sʉ̀p-suan-sɔ̀p-suan
inherit	สืบสาน	sʉ̀p-sǎan
advertising media	สื่อโฆษณา	sʉ̀ɔ-koo-sà-naa
television media	สื่อโทรทัศน์	sʉ̀oo-too-rá-tàt
printed matter	สื่อสิ่งพิมพ์	sʉ̀ɔ-sìŋ-pim
be peaceful	สุขสงบ	sùk-soŋ-bop
peacefully	สุขสงบ	sùk-sǎngop
sanitation	สุขอนามัย	sù-kʰà-naa-mai
beyond one's capability	สุดฝีมือ	sùd-fii-muu
line	เส้น	sên
nerve	เส้น	sên
unit of length equal to 40 metres	เส้น	sên
numerative noun of road, long thing	เส้น	sên
disclose one's intention	แสดงเจตนา	sɛ̌-dɛɛŋ-jee-dtà-naa
delay	หน่วง	nùaŋ
credit	หน่วยกิต	nùay-git
memory	หน่วยความจำ	nùay-kwaam-jam
morpheme	หน่วยคำ	nùay-kam
certificate	หนังสือรับรอง	nǎng-sʉ̌ʉ-rap-rɔɔng
be cold	หนาวเย็น	nǎao-yen
terminate	หมดวาระ	mòd-waa-rá
classification	หมวดหมู่	muàt-muù
prostrate	หมอบคลาน	mɔ̀ɔp-klaan
drop	หยาด	hǎat
stop	หยุดยั้ง	yùt-yaŋ
one's grandfather all of whom are in the monkhood	หลวงตา	lûaŋ-dtaa
property	หลักทรัพย์	lák-sàp
course	หลักสูตร	làk-sùut
sleep	หลับไหล	làp-lai
in the time	ห้วงเวลา	hûaŋ-wee-laa
be suspicious	หวาดระแวง	wàat-rá-wɛɛŋ
suspiciously	หวาดระแวง	wàat-rá-wɛɛŋ
lobby	ห้องโถง	hɔ́ɔŋ-tooŋ
dormitory	หอพัก	hɔ̌ɔ-pák
early in the evening	หัวค่ำ	hǔa-khâm
leavening	หัวเชื้อ	hǔa-chʉ́a
far	ห่างไกล	hàaŋ-gai
department store	ห้างสรรพสินค้า	háaŋ-sàp-pá-sǐn-káa
acclaim	โห่ร้อง	hòo-ráoŋ
service	ให้บริการ	hâi-bɔ-ri-gaan
building	อาคาร	aa-kaan
industry	อุตสาหกรรม	ut-sǎa-ha-gam
accident	อุบัติเหตุ	u-bàt-ti-hèt-tu
person	เอกชน	èk-chon
private	เอกชน	èk-chon
alone	เอง	eeŋ
water jar	โอ่ง	ôoŋ
support	โอบอุ้ม	oo-bûm
Ouch!	โอ๊ย	ôoi
homily	โอวาท	oo-wâat
obedience	โอวาท	oo-wâat
luxurious	โอ่อ่า	ôo-ìa
popular	ฮิต	hìt
be a hit	ฮิต	hit
hereditary	ทางกรรมพันธุ์	taaŋ-gam-pan
cook up	กุเรื่อง	gu-rʉ̂aŋ
juvenile court	ศาลคดีเด็กและเยาวชน	sǎan-kdii-dèk-lɛ̌ɛ-yao-won
earner	ผู้มีรายได้	pûu-mii-raai-dai
above all	เหนืออื่นใด	hə̀nʉa-ʉ̀n-dai
pre-school child	เด็กก่อนวัยเรียน	dèk-gɔ̀ɔn-wai-rian
biotechnology	เทคโนโลยีชีวภาพ	tek-noo-lo-yii-chii-wa-phaap
sterile	ปลอดเชื้อ	bplɔ̀ɔd-chʉ́a
police court	ศาลตำรวจ	sǎan-dtam-rùat
fetus	ทารกในครรภ์	taa-rok-nai-kap
constitutional court	ศาลรัฐธรรมนูญ	sǎan-rát-tám-má-nuun
individual	แต่ละบุคคล	dtɛ̀-là-buk-kon
occupational class	กลุ่มอาชีพ	glùm-aa-chii-p
dependent child	เด็กในอุปการะ	dèk-nai-ùp-paa-gaa-rá
age group	กลุ่มอายุ	glùm-aa-yu
on line	เชื่อมตรง	chʉ̂am-dtong
population quality	คุณภาพประชากร	kun-pâap-bpra-chaa-gon
open-ended question	คำถามเปิด	kam-tǎam-bpə̀ət
diploma	ประกาศนียบัตรชั้นสูง	bpra-gaa-sat-ní-ya-bàt-châŋ-suuŋ
registered personnel	ทหารกองเกิน	tá-hǎan-goŋ-gəən
rentier	ผู้มีรายได้ประจำ	pûu-mii-raai-dai-bpra-jam
attorney	ผู้รับมอบอำนาจ	pûu-ráp-mɔɔp-am-naat
heir	ผู้สืบสายโลหิต	pûu-sʉ̀p-sǎai-loo-hit
heiress	ผู้สืบสายโลหิต	pûu-sʉ̀p-saai-loo-hit
illegal wife	ภรรยานอกสมรส	pun-rá-yaa-nɔ̀ɔk-som-rót
technocrat	นักวิชาการ	nák-wi-chaa-gaan
public company	บริษัทมหาชน	bɔ-rí-sàt-má-hǎa-chon
preserve	เขตสงวน	kèt-soŋ-wuan
provincial court	ศาลจังหวัด	sǎan-jaŋ-wàt
instead of	แทนที่จะ	tɛɛn-tîi-jà
motivation	มูลเหตุจูงใจ	muu-lá-hèd-juuŋ-jai
bargaining power	อำนาจต่อรอง	am-naa-dtɔ̀ɔ-roong
subject	อัตวิสัย	àt-tá-wi-sǎi
independent entity	องค์กรอิสระ	oŋ-kon-it-sà-rá
signature	ลายมือชื่อ	laai-muu-chʉ̂u
subsequently submit	ส่งต่อ	sòŋ-dtɔ̀ɔ
rural area	เขตชนบท	kèt-chon-bot
court of justice	ศาลสถิตยุติธรรม	sǎan-sà-tìt-yu-dti-tam
supreme court	ศาลสูงสุด	sǎan-suuŋ-sùt
take an oath of allegiance	ถวายสัตย์ปฏิญาณ	tà-waai-sàt-bpa-dtì-yaan
physical evidence	พยานวัตถุ	pá-yaan-wàt-tu
witness	พยานบุคคล	pá-yaan-buk-kon
trainee	ผู้เข้ารับการอบรม	pûu-kâo-rap-gaan-òp-rom
on the contrary	ในทางตรงกันข้าม	nai-taaŋ-dtong-gan-kâam
imaginary	ในจินตนาการ	nai-jin-dtà-naa-gaan
petty case	คดีมโนสาเร่	kdii-mo-noo-saa-rèe
from now on	นับแต่นี้ไป	náp-dtɛ̀-nîi-bpai
closed-ended question	คำถามปิด	kam-tǎam-bpìt
tyrant	ทรราช	trá-raad
ideology	อุดมการณ์	ùt-dom-gaan
in negligence	โดยประมาท	doi-bpra-maat
formerly	เดิมทีเดียว	dəəm-tii-diiao
administrative work	งานบริหาร	ngaan-bɔ-ri-hǎan
illiterate	ผู้ไม่รู้หนังสือ	pûu-mâi-rúu-naŋ-sʉ̌u
in doing this	ในการนี้	nai-gaan-nii
psychological warfare	สงครามจิตวิทยา	song-kraam-jit-wit-ta-yaa
public welfare	สวัสดิภาพสังคม	sà-wàt-dì-pâap-saŋ-kom
serious offence	คดีอุกฉกรรจ์	kà-dii-ùk-chon
hypothesis	สมมุติฐาน	som-mú-dtǐan
create	เสก	sèk
school age child	เด็กวัยเรียน	dèk-wai-rian
human relations	มนุษยสัมพันธ์	mo-nút-ya-sǎm-pan
in other words	กล่าวอีกนัยหนึ่ง	glàao-ìik-nai-nʉŋ
administrative court	ศาลปกครอง	sǎan-bpok-kraong
national income	รายได้ประ ชาชาติ	raai-dai-bpra-chaa-chaat
microeconomics	เศรษฐศาสตร์จุลภาค	sèd-tà-sàat-jun-la-pàak
Royal Command	พระบรมราชโองการ	pá-rom-raa-chá-ooŋ-gaan
finger print	ลายนิ้วมือ	laai-níw-mʉʉ
desirable	ที่พึงประสงค์	tîi-pʉŋ-bprà-soŋ
compensation	ค่าสินไหม	kâa-sin-mai
head office	สำนักงานใหญ่	sǎm-nák-ngaan-yài
foreign trade zone	เขตการค้าเสรี	kèd-gaan-káa-sərii
creativity	ความคิดสร้างสรรค์	kwaam-kit-sâang-san
case study	กรณีศึกษา	gɔ-nii-sʉ̀g-sǎa
capitalism	ระบบทุนนิยม	rá-bòp-tun-ní-yom
buying power	อำนาจซื้อ	am-naat-sʉ́ʉ
suburban zone	เขตชานเมือง	khèt-chaan-mʉaŋ
macroeconomics	เศรษฐศาสตร์มหภาค	sèd-da-sàat-ma-ha-pàak
encourage	ปลุกเร้า	bplùk-ráo
call	โทร	too
freedom	ไทย	thai
Thailand	ไทย	tai
broker	นายหน้าซื้อขาย	nai-nâa-sʉ̂u-kǎai
leaf	ใบ	bai
numerative noun for tree leaves, fruit, container, document, etc.	ใบ	bai
appraise	ประเมินคุณค่า	bpra-meen-kun-kàa
blow	พัดพา	pàt-paa
be contaminated	ปลอมปน	bplɔɔm-bpon
bypass	ทางเลี่ยงเมือง	taang-lîaŋ-mʉaŋ
be in line with	เป็นไปตาม	bpen-bpai-dtaam
airy	โปร่งลม	bprooŋ-lom
species of thornless bamboo	ผาก	pàak
violate the rule	ผิดกติกา	pìd-ga-dtì-gaa
accomplice	ผู้สมคบ	pû-som-kop
delay	หน่วงเหนี่ยว	nùaŋ-nìiao
impure	ปลอมปน	bplɔɔm-bon
cheer	เชียร์	chia
strand	เกลียว	glia̋w
twist	เกลียว	glia̍w
frighten	เขย่าขวัญ	khèa-kwǎn
horrible	เขย่าขวัญ	kǎo-yaao-kuaŋ
enter the code	เข้ารหัส	khâo-rá-hàt
go out and come in again and again	เข้าๆ ออกๆ	khâa-khâa ɔ̀ɔk-ɔ̀ɔk
in and out	เข้าๆ ออกๆ	khâa-khâa ɔ̀ɔg-ɔ̀ɔg
be chic	เท่	tâo
remember	จำใส่ใจ	jam-sai-jai
incline	เท่	tâo
support	เชียร์	chîa
diminish	ซาลง	saa-loŋ
novice	เณร	neen
instinctively	โดยสัญชาตญาณ	doi-sǎn-chaat-yaan
break through	ตีฝ่า	dtii-fâa
withdraw from	ถอนตัว	tɔ̌ɔn-dua
anticlockwise	ทวนเข็มนาฬิกา	tuan-kʉ̌m-naa-lí-gaa
be promiscuous	มั่ว	mûa
form into groups	จัดกลุ่ม	jàt-glùm
incalculably	สุดคณนา	sùt-kun-naa
money	สตางค์	sà-dtaaŋ
double	สองเท่าตัว	sɔ̌ɔŋ-tâao-dtua
smell	สาบ	sàap
musty	สาบ	sàap
cockroach	สาบ	sàap
facings around the edges of a coat on which buttons are sewn or buttonholes cut	สาบ	sàap
lake	สาบ	sàap
carry a weapon	พกอาวุธ	pók-aa-wut
right	สิทธิ์	sìt-tí
auction	เลหลัง	lee-laŋ
share	สู่	sùu
to	สู่	sùu
visit	สู่	sùu
recite an incantation over	เสก	sèk
sprinkle holy water on the bride and groom at a wedding	เสก	sèk
magical	เสก	sèk
assembly	สมัชชา	sà-màt-chaa
possibility	สิทธิ์	sìt-tí
receive	รับ	ráp
assemble	มั่ว	mûa
predict	มั่ว	mûa
be unrelated	ไม่เกี่ยว	mài-gìao
incessantly	ไม่หยุดหย่อน	mai-yùt-yòn
freely	ไม่อั้น	mài-ʉ̂n
file a complaint	ยื่นคำร้อง	yʉ̂un-kam-rɔ́ɔŋ
car	รถ	rót
stang	สตางค์	sà-taŋ
rhyme	รับ	ráp
low-priced	เลหลัง	lee-laŋ
accept	รับ	ráp
take up	รับ	ráp
match	รับ	ráp
confess	รับ	ráp
listen to	รับฟัง	ráp-faŋ
tune in	รับฟัง	ráp-faŋ
inordinately	เลยเถิด	ləəi-tʉ̀it
hold  back	หน่วงเหนี่ยว	nùaŋ-nìiao
withstand	รับ	ráp
be completely demolished	พังยับเยิน	pang-yáp-yən
implication	นัยประหวัด	nai-bpà-wàt
in fact	ในความเป็นจริง	nai-kwaam-bpen-jing
list	บัญชีรายชื่อ	ban-chii-rai-chʉ̂ʉ
bench	บัลลังก์ศาล	bun-laŋ-sǎan
obstruct	เป็นก้างขวางคอ	bpen-gâaŋ-kwaaŋ-kɔɔ
by common consent	เป็นเอกฉันท์	bpen-èk-chun
be hidden	แฝงเร้น	fɛɛŋ-reen
effective	มีประสิทธิภาพ	mii-bprà-sìt-tí-phaap
be on	พ้นขีดอันตราย	pón-kìit-an-dtà-raai
off the danger list	พ้นขีดอันตราย	pón-kìit-un-dtà-raai
until	ตราบจนกระทั่ง	dtraa-bon-gra-tàŋ
pure breed	พันธุ์แท้	pan-tɛɛ
commerce	พาณิชยกรรม	paa-ni-cha-gam
decrease	เพลาลง	phlao-loŋ
image	ภาพติดตา	páap-dtìt-dtaa
under control	ภายใต้การควบคุม	phaai-dtâi-gaan-kuap-khum
effectively	มีประสิทธิภาพ	mii-bpra-sìt-ti-pâap
bribe	ให้สินบน	hâi-sin-bon
latent	แฝงเร้น	fɛɛŋ-ren
suicide	การฆ่าตัวตาย	gaan-kâa-dtua-dtaai
surplus	ส่วนเกิน	sùan-gəən
stay away	อยู่ห่างๆ	yùu-hàaŋ-hàaŋ
plug	อุด	ùt
carry	อุ้ม	ûm
absorb	อุ้ม	ûm
utter	เอ่ย	ɔ̀i
ok	เอาละ	ao-lá
exclusively	แต่ผู้เดียว	dtɛ̀-pùu-diiao
constabulary	กองกำลังตำรวจ	goŋ-gam-laŋ-dtam-ruat
so long as	ตราบใดที่	dtràab-dai-tîi
reproduction	การเจริญพันธุ์	gaan-ja-rəən-pan
contrary to	ขัดต่อ	kàt-dtɔ̀ɔ
deposit	เข้าบัญชี	khâo-ban-chii
ad hoc committee	คณะกรรมการชั่วคราว	ka-ná-gam-maa-chûa-krao
rank of nobility	ฐานันดรศักดิ์	tǎa-nân-dɔɔn-sàk
discretion	ดุลพินิจ	dul-pí-nìt
in principle	โดยหลัก	doi-làk
affect	มีผลกระทบ	mii-pǒn-grà-tòp
now then	เอาละ	ao-lá
party leader	หัวหน้าพรรค	hǔa-nâa-pák
lay down measures	วางมาตรการ	waang-maa-dtra-gaan
technology	วิทยาการผลิต	wit-tà-yaa-gaan-pà-lit
establishment	สถานประกอบการ	sà-tǎan-bpra-gɔ̀ɔp-gaan
vocational school	สถานศึกษาวิชาชีพ	sà-tǎa-n-sʉ̀k-sǎa-wi-chaa-chii
make eye contact	สบตา	sòp-dtaa
power of attorney	หนังสือมอบอำนาจ	nǎng-sʉ̌ʉ-mɔ̂ɔp-am-na
credentials	หนังสือสำคัญ	nǎng-sʉ̌ə-sǎm-kun
be efficient	มีประสิทธิภาพ	mii-bpra-sìt-tí-páap
guarantee	หลักประกัน	làk-bpra-gan
reproductive age	วัยเจริญพันธุ์	wai-ja-rin-pan
contrive up	ออกอุบาย	ɔ̀ɔk-u-baa-i
legal document	เอกสารทางกฎหมาย	èk-sǎan-taaŋ-gdt-màai
ATM	เอทีเอ็ม	ee-dtii-em
administrative district	เขตการปกครอง	kèt-gaan-bpok-krɔɔŋ
township	เขตการปกครองท้องถิ่น	kèt-gaan-bpòk-kraŋ-tɔɔŋ-tìn
autonomous region	เขตปกครองตนเอง	kèt-bpòg-krɔɔŋ-dtǒn-eeŋ
sanitary district	เขตสุขาภิบาล	khèt-sù-kaa-pí-baan
security	หลักประกัน	làk-bpra-gan
come on	เร็วๆ เข้า	reo-reo kâo
be retroactive	มีผลย้อนหลัง	mii-pòn-yɔ́ɔn-laŋ
vote	มีมติ	mii-má-dtì
be conscientious	มีมโนธรรม	mii-mo-not-tam
consent to	ไม่ขัดข้อง	mâi-kàt-kɔ̂ɔŋ
dissatisfied	ไม่สบอารมณ์	mai-sop-aa-rom
be dissatisfied	ไม่สบอารมณ์	mai-sòp-aa-rom
act for	รักษาการในตำแหน่ง	rák-sǎa-gaan-nai-dtam-hɛ̀ŋ
youth	วัยหนุ่มสาว	wai-nùm-sǎao
realize	รู้สำนึก	rúu-sǎm-nʉk
puberty	วัยแรกรุ่น	wai-rɛɛk-run
recessive	ลักษณะด้อย	lák-sà-ná-dɔ̂y
lately	ล่าสุด	làa-sùd
latest	ล่าสุด	lâa-sùd
order of magnitude	ลำดับความสำคัญ	lam-dap-kwaam-sam-kan
